Frequency,Power
1.685000000000000109e-01,2.417265673279292173e+02
1.690000000000000113e-01,9.268185801587466131e+02
1.695000000000000118e-01,8.987231879551997054e+02
1.700000000000000122e-01,2.124696717958509851e+02
1.705000000000000127e-01,4.252423565462722763e+02
1.710000000000000131e-01,8.006566045662519855e+02
1.715000000000000135e-01,3.175416797377941407e+02
1.720000000000000140e-01,1.421793337437227365e+02
1.725000000000000144e-01,3.795646918519429960e+02
1.730000000000000149e-01,4.844373999398579258e+02
1.735000000000000153e-01,3.619389135755027382e+02
1.740000000000000158e-01,2.923649883197033432e+02
1.745000000000000162e-01,3.790447537891670322e+02
1.750000000000000167e-01,1.954752018780307026e+02
1.755000000000000171e-01,2.995792314325085304e+00
1.759999999999999898e-01,3.011255165611712528e+02
1.764999999999999902e-01,1.679285910961147295e+02
1.769999999999999907e-01,1.337693062989723387e+02
1.774999999999999911e-01,4.019881474308018596e+02
1.779999999999999916e-01,3.731212663263520994e+02
1.784999999999999920e-01,3.551766341386263548e+02
1.789999999999999925e-01,1.800792176585358959e+02
1.794999999999999929e-01,4.003404044381343851e+02
1.799999999999999933e-01,1.396698211385579214e+02
1.804999999999999938e-01,2.479718511372240073e+02
1.809999999999999942e-01,4.803791113841877625e+00
1.814999999999999947e-01,5.872416591352680371e+01
1.819999999999999951e-01,2.227175139668792951e+02
1.824999999999999956e-01,4.284618829431232143e+02
1.829999999999999960e-01,6.964270586508504266e+02
1.834999999999999964e-01,2.818318257493655778e+02
1.839999999999999969e-01,1.070514633691672771e+03
1.844999999999999973e-01,3.592236655539443859e+02
1.849999999999999978e-01,2.620417775940831007e+02
1.854999999999999982e-01,1.588480937895717737e+01
1.859999999999999987e-01,1.860947843160550406e+02
1.864999999999999991e-01,3.462957226860623905e+02
1.869999999999999996e-01,2.576675194572524106e+02
1.875000000000000000e-01,5.807768611508585082e+02
1.880000000000000004e-01,1.613473606895800856e+02
1.885000000000000009e-01,6.372853665821766072e+02
1.890000000000000013e-01,1.887936518810513746e+02
