Frequency,Power
1.733333333333333393e-01,6.871216376067442866e+01
1.766666666666666663e-01,3.797526196279481780e+01
1.800000000000000211e-01,2.273466928181123237e+01
1.833333333333333481e-01,1.395909594962042810e+01
1.866666666666666752e-01,2.736448219143981930e+01
1.900000000000000022e-01,2.063039721988902997e+01
1.933333333333333570e-01,6.607613959442633700e+01
1.966666666666666841e-01,2.804832801796407082e+01
2.000000000000000111e-01,1.386076585850629783e+01
2.033333333333333381e-01,1.750035662741622744e+01
2.066666666666666929e-01,2.209716916256650787e+00
2.100000000000000200e-01,2.957907689622071068e+00
2.133333333333333470e-01,3.175908372737151986e+00
2.166666666666666741e-01,4.918141171641266141e+01
2.200000000000000011e-01,5.686859422124606311e+01
2.233333333333333559e-01,3.963423537737106273e+01
2.266666666666666829e-01,2.277822448507168218e+01
2.300000000000000100e-01,5.209890187605051892e+01
2.333333333333333370e-01,8.545863698210166604e+01
2.366666666666666918e-01,6.011762243205799194e+01
2.400000000000000189e-01,1.501469171793374002e+01
2.433333333333333459e-01,3.114218360323017976e+01
2.466666666666666730e-01,2.477505440793474278e+01
2.500000000000000000e-01,4.644576177599685707e+01
2.533333333333333548e-01,5.219203496372412587e+01
2.566666666666667096e-01,2.798209789480346643e+01
2.600000000000000089e-01,1.243928077301214188e+02
2.633333333333333637e-01,3.378036241242829618e+01
2.666666666666666630e-01,2.348030379575869375e+01
2.700000000000000178e-01,1.619052730619853619e+01
2.733333333333333726e-01,5.306379160861518507e+00
2.766666666666666718e-01,6.449775696779950351e+01
2.800000000000000266e-01,4.333846088389806539e+01
2.833333333333333259e-01,9.908905432188879203e+00
2.866666666666666807e-01,1.955301761226232315e+01
2.900000000000000355e-01,1.265833841708198904e+01
2.933333333333333348e-01,6.282066158564092717e+01
2.966666666666666896e-01,2.262759904165171676e+01
3.000000000000000444e-01,2.809781255918718657e+01
3.033333333333333437e-01,3.276103337190053821e+01
3.066666666666666985e-01,1.251139877052397686e+01
3.099999999999999978e-01,4.010997397235697548e+01
3.133333333333333526e-01,8.446222369361537119e+01
3.166666666666667074e-01,3.807247773069079955e+01
3.200000000000000067e-01,2.560077844706913908e+00
3.233333333333333615e-01,1.181743688654959712e+01
3.266666666666666607e-01,4.223819285593163109e+00
3.300000000000000155e-01,2.593611623781271192e+01
3.333333333333333703e-01,8.615428348756552168e+00
3.366666666666666696e-01,1.618418334387159518e+01
3.400000000000000244e-01,1.239761667974007864e+01
3.433333333333333792e-01,5.462753007045591247e-02
3.466666666666666785e-01,1.781877277339989263e+01
3.500000000000000333e-01,8.910236725844503880e+00
3.533333333333333326e-01,1.444806092911340478e+01
3.566666666666666874e-01,9.223704576254911913e+00
