Frequency,Power
3.400000000000000244e-02,4.930668367970376949e+02
3.450000000000000289e-02,1.170111366164221408e+03
3.500000000000000333e-02,2.388848876972728704e+03
3.550000000000000377e-02,7.511621605087429998e+03
3.600000000000000422e-02,4.767791965773209085e+03
3.649999999999999772e-02,7.025066417013855244e+03
3.699999999999999817e-02,9.790076640663718308e+02
3.749999999999999861e-02,1.553219822388428611e+03
3.799999999999999906e-02,2.114903804411152123e+03
3.849999999999999950e-02,6.102789497951302110e+03
3.899999999999999994e-02,5.824741141993121346e+03
3.950000000000000039e-02,3.795952579235328358e+03
4.000000000000000083e-02,7.054294558704007613e+03
4.050000000000000128e-02,4.108761717835656782e+03
4.100000000000000172e-02,2.379365788092828552e+03
4.150000000000000216e-02,3.740530818919001376e+03
4.200000000000000261e-02,8.750601908988284777e+03
4.250000000000000305e-02,2.223814598205283801e+03
4.300000000000000350e-02,4.122453211048948106e+03
4.350000000000000394e-02,1.312710075426280355e+03
4.399999999999999745e-02,2.658113510530355370e+02
4.449999999999999789e-02,1.702352199367617459e+03
4.499999999999999833e-02,5.816977139753651045e+02
4.549999999999999878e-02,3.388049321034691275e+03
4.599999999999999922e-02,1.462208043405465332e+03
4.649999999999999967e-02,9.122513297000421062e+02
4.700000000000000011e-02,2.281289642604135679e+02
4.750000000000000056e-02,1.303250956029442705e+03
4.800000000000000100e-02,2.669749675411123917e+03
4.850000000000000144e-02,2.528301958502421257e+03
4.900000000000000189e-02,4.597785076225131888e+03
4.950000000000000233e-02,1.926945657128570019e+04
5.000000000000000278e-02,1.729025913743360434e+04
5.050000000000000322e-02,2.893814484663708299e+03
5.100000000000000366e-02,8.606190877791152616e+02
5.150000000000000411e-02,1.950591585411818414e+03
5.200000000000000455e-02,1.286558611865328885e+03
5.249999999999999806e-02,4.078016874909395710e+02
5.299999999999999850e-02,1.451139403124333853e+02
5.349999999999999895e-02,5.740063582151751689e+02
5.399999999999999939e-02,4.644500543635466556e+02
5.449999999999999983e-02,1.196794272679633650e+03
5.500000000000000028e-02,1.858122190276702952e+02
5.550000000000000072e-02,6.773214073039788445e+02
5.600000000000000117e-02,1.807820440026446533e+02
5.650000000000000161e-02,1.212580197005569062e+03
5.700000000000000205e-02,2.137238838637907065e+03
5.750000000000000250e-02,2.354022512884463595e+03
5.800000000000000294e-02,2.256369043348450759e+03
5.850000000000000339e-02,2.172753589770851761e+02
5.900000000000000383e-02,2.199331309213890790e+02
5.950000000000000427e-02,5.813076334376719387e+03
5.999999999999999778e-02,8.902951961098828178e+03
6.049999999999999822e-02,1.890990074538808813e+03
6.099999999999999867e-02,2.168782995680789440e+02
6.149999999999999911e-02,2.000866446572433119e+02
6.199999999999999956e-02,3.093737249967228763e+03
6.250000000000000000e-02,1.690066680864406180e+03
6.300000000000000044e-02,3.834473142702904624e+03
6.350000000000000089e-02,2.036504955195628099e+03
6.400000000000000133e-02,1.235637948333488112e+03
6.450000000000000178e-02,8.661173058363007158e+02
6.500000000000000222e-02,2.169856421016547756e+03
6.550000000000000266e-02,9.136781757895054398e+03
6.600000000000000311e-02,5.480713642439259274e+03
6.650000000000000355e-02,3.001581725742578897e+02
6.700000000000000400e-02,1.172097092940933635e+03
6.750000000000000444e-02,1.431538217683993935e+03
6.800000000000000488e-02,2.311108358693107903e+02
6.850000000000000533e-02,4.581313794632068834e+02
6.900000000000000577e-02,9.877781498634318780e+01
6.950000000000000622e-02,5.234324443057278131e+02
7.000000000000000666e-02,4.287168009468007767e+03
7.050000000000000711e-02,9.993954381358407772e+03
7.100000000000000755e-02,6.520462410550930144e+03
7.150000000000000799e-02,3.048335511936088096e+03
7.200000000000000844e-02,1.421245225786060473e+03
7.249999999999999500e-02,4.083687315179117405e+01
7.299999999999999545e-02,4.750719104511161639e+00
7.349999999999999589e-02,1.155267963849930538e+03
7.399999999999999634e-02,6.432113712760483395e+02
7.449999999999999678e-02,4.443181073343590469e+03
7.499999999999999722e-02,4.108778739948475049e+03
7.549999999999999767e-02,7.909554123261576706e+02
7.599999999999999811e-02,4.130588644681592427e+02
7.649999999999999856e-02,8.350911514061410799e+02
7.699999999999999900e-02,6.643269463536664432e+01
7.749999999999999944e-02,6.713238836842332375e+02
7.799999999999999989e-02,2.096460280217334912e+03
7.850000000000000033e-02,3.768225332870714738e+03
7.900000000000000078e-02,2.257369884150478811e+03
7.950000000000000122e-02,2.134296961179254140e+03
8.000000000000000167e-02,1.455189337404754497e+03
8.050000000000000211e-02,9.384482041571211539e+02
8.100000000000000255e-02,1.662742090008204741e+03
8.150000000000000300e-02,1.114457057132112141e+03
8.200000000000000344e-02,9.444017674754719565e+02
8.250000000000000389e-02,1.867314315678924913e+03
8.300000000000000433e-02,2.585920536100726622e+03
8.350000000000000477e-02,8.802541594201002226e+02
8.400000000000000522e-02,2.226081930557425949e+03
8.450000000000000566e-02,6.847028825202477265e+02
8.500000000000000611e-02,5.027324504540725059e+01
8.550000000000000655e-02,1.818216654229125879e+02
8.600000000000000699e-02,2.467488469098720998e+02
8.650000000000000744e-02,1.185912517765635585e+03
8.700000000000000788e-02,1.793760024797932147e+03
8.750000000000000833e-02,7.113274024356204563e+02
8.799999999999999489e-02,2.518168966300990235e+02
8.849999999999999534e-02,3.239017116865862818e+02
8.899999999999999578e-02,6.622592154009828391e+02
8.949999999999999623e-02,4.598589395649021867e+02
8.999999999999999667e-02,3.154949170436315853e+03
9.049999999999999711e-02,9.142438369322985636e+02
9.099999999999999756e-02,2.660709059626396993e+02
