date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ICHIMOKU,exit0_ICHIMOKU
2020-05-08,75.46578979492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.9212532043457],[61.98187446594238],[72.9212532043457],[75.46578979492188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],72.9212532043457,72.9212532043457
2020-05-11,76.65325164794922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.56875228881836],[61.98187446594238],[73.56875228881836],[76.65325164794922],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],73.56875228881836,73.56875228881836
2020-05-12,75.7772445678711,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.11750030517578],[61.98187446594238],[75.11750030517578],[75.7772445678711],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],75.11750030517578,75.11750030517578
2020-05-13,74.8623046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.69250106811523],[63.33749961853027],[75.69250106811523],[74.8623046875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],75.69250106811523,75.69250106811523
2020-05-14,75.32223510742188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.69250106811523],[63.5387487411499],[75.69250106811523],[75.32223510742188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],75.69250106811523,75.69250106811523
2020-05-15,74.87689971923828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.75125122070312],[64.0756254196167],[75.75125122070312],[74.87689971923828],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],75.75125122070312,75.75125122070312
2020-05-18,76.6410903930664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.76874923706055],[64.03812503814697],[76.76874923706055],[76.6410903930664],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],76.76874923706055,76.76874923706055
2020-05-19,76.19822692871094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.31999969482422],[63.797499656677246],[77.31999969482422],[76.19822692871094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],77.31999969482422,77.31999969482422
2020-05-20,77.68014526367188,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[77.48749923706055],[63.37687587738037],[77.48749923706055],[77.68014526367188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],77.48749923706055,77.48749923706055
2020-05-21,77.10101318359375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.48749923706055],[64.12562465667725],[77.48749923706055],[77.10101318359375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],77.48749923706055,77.48749923706055
2020-05-22,77.59740447998047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.63750076293945],[64.12562465667725],[77.63750076293945],[77.59740447998047],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],77.63750076293945,77.63750076293945
2020-05-26,77.07179260253906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[77.63750076293945],[64.25500011444092],[77.63750076293945],[77.07179260253906],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],77.63750076293945,77.63750076293945
2020-05-27,77.4075927734375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.05624771118164],[64.90562534332275],[78.05624771118164],[77.4075927734375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],78.05624771118164,78.05624771118164
2020-05-28,77.4416732788086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.05624771118164],[65.50687503814697],[78.05624771118164],[77.4416732788086],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],78.05624771118164,78.05624771118164
2020-05-29,77.3662338256836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.05624771118164],[65.64625072479248],[78.05624771118164],[77.3662338256836],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],78.05624771118164,78.05624771118164
2020-06-01,78.31767272949219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.31999969482422],[65.86312580108643],[79.31999969482422],[78.31767272949219],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],79.31999969482422,79.31999969482422
2020-06-02,78.68026733398438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.65625],[65.9087495803833],[79.65625],[78.68026733398438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],79.65625,79.65625
2020-06-03,79.11338806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.6662483215332],[65.9087495803833],[79.6662483215332],[79.11338806152344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],79.6662483215332,79.6662483215332
2020-06-04,78.43204498291016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.91125106811523],[65.90562534332275],[79.91125106811523],[78.43204498291016],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],79.91125106811523,79.91125106811523
2020-06-05,80.66586303710938,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[79.91125106811523],[65.90562534332275],[79.91125106811523],[80.66586303710938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],79.91125106811523,79.91125106811523
2020-06-08,81.14280700683594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[80.60499954223633],[67.44187641143799],[80.60499954223633],[81.14280700683594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],80.60499954223633,80.60499954223633
2020-06-09,83.70513916015625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[80.83625030517578],[68.21187400817871],[80.83625030517578],[83.70513916015625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],80.83625030517578,80.83625030517578
2020-06-10,85.85867309570312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[82.65499877929688],[68.7706241607666],[82.65499877929688],[85.85867309570312],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],82.65499877929688,82.65499877929688
2020-06-11,81.73654174804688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[83.90499877929688],[69.19375038146973],[83.90499877929688],[81.73654174804688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],83.90499877929688,83.90499877929688
2020-06-12,82.44223022460938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[83.99749755859375],[69.61062431335449],[83.99749755859375],[82.44223022460938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],83.99749755859375,83.99749755859375
2020-06-15,83.46177673339844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[84.21249771118164],[70.02374839782715],[84.21249771118164],[83.46177673339844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],84.21249771118164,84.21249771118164
2020-06-16,85.67372131347656,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[84.4437484741211],[70.34000205993652],[84.4437484741211],[85.67372131347656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],84.4437484741211,84.4437484741211
2020-06-17,85.55448150634766,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[84.4437484741211],[70.98750114440918],[84.4437484741211],[85.55448150634766],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],84.4437484741211,84.4437484741211
2020-06-18,85.58856964111328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[84.82875061035156],[72.30999946594238],[84.82875061035156],[85.58856964111328],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],84.82875061035156,84.82875061035156
2020-06-19,85.09944152832031,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[85.34000015258789],[73.41312599182129],[85.34000015258789],[85.09944152832031],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],85.34000015258789,85.34000015258789
2020-06-22,87.32598114013672,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[86.07125091552734],[74.01437568664551],[86.07125091552734],[87.32598114013672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],86.07125091552734,86.07125091552734
2020-06-23,89.18993377685547,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[86.50499725341797],[74.18312644958496],[86.50499725341797],[89.18993377685547],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],86.50499725341797,86.50499725341797
2020-06-24,87.61554718017578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[88.11999893188477],[74.90875053405762],[88.11999893188477],[87.61554718017578],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],88.11999893188477,88.11999893188477
2020-06-25,88.7786865234375,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[88.11999893188477],[75.22999954223633],[88.11999893188477],[88.7786865234375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],88.11999893188477,88.11999893188477
2020-06-26,86.05088806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[88.11999893188477],[75.31374931335449],[88.11999893188477],[86.05088806152344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],88.11999893188477,88.11999893188477
2020-06-29,88.0340576171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[89.63750076293945],[75.31374931335449],[89.63750076293945],[88.0340576171875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],89.63750076293945,89.63750076293945
2020-06-30,88.76895904541016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[89.69124984741211],[75.4637508392334],[89.69124984741211],[88.76895904541016],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],89.69124984741211,89.69124984741211
2020-07-01,88.6010513305664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[89.69124984741211],[75.4637508392334],[89.69124984741211],[88.6010513305664],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],89.69124984741211,89.69124984741211
2020-07-02,88.6010513305664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[89.69124984741211],[75.88249778747559],[89.69124984741211],[88.6010513305664],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],89.69124984741211,89.69124984741211
2020-07-06,90.97114562988281,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[90.44124984741211],[75.88249778747559],[90.44124984741211],[90.97114562988281],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],90.44124984741211,90.44124984741211
2020-07-07,90.68888092041016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[90.88249969482422],[76.30562400817871],[90.88249969482422],[90.68888092041016],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],90.88249969482422,90.88249969482422
2020-07-08,92.801025390625,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[91.23749923706055],[77.10437393188477],[91.23749923706055],[92.801025390625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],91.23749923706055,91.23749923706055
2020-07-09,93.2000961303711,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[91.59749984741211],[77.40562438964844],[91.59749984741211],[93.2000961303711],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],91.59749984741211,91.59749984741211
2020-07-10,93.36311340332031,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[92.0687484741211],[77.48562431335449],[92.0687484741211],[93.36311340332031],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],92.0687484741211,92.0687484741211
2020-07-13,92.93242645263672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[92.0687484741211],[77.73062705993652],[92.0687484741211],[92.93242645263672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],92.0687484741211,92.0687484741211
2020-07-14,94.47029876708984,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.97750091552734],[78.08625221252441],[94.97750091552734],[94.47029876708984],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.97750091552734,94.97750091552734
2020-07-15,95.1200180053711,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[95.43250274658203],[78.90250015258789],[95.43250274658203],[95.1200180053711],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],95.43250274658203,95.43250274658203
2020-07-16,93.9495620727539,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[95.43250274658203],[79.13375091552734],[95.43250274658203],[93.9495620727539],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],95.43250274658203,95.43250274658203
2020-07-17,93.75977325439453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.21125030517578],[80.82312393188477],[96.21125030517578],[93.75977325439453],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],96.21125030517578,96.21125030517578
2020-07-20,95.73566436767578,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.50625228881836],[82.52937316894531],[96.50625228881836],[95.73566436767578],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],96.50625228881836,96.50625228881836
2020-07-21,94.41435241699219,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.91625213623047],[82.85124778747559],[96.91625213623047],[94.41435241699219],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],96.91625213623047,96.91625213623047
2020-07-22,94.6795883178711,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.91625213623047],[83.0424976348877],[96.91625213623047],[94.6795883178711],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],96.91625213623047,96.91625213623047
2020-07-23,90.3701171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[96.91625213623047],[83.15812301635742],[96.91625213623047],[90.3701171875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],96.91625213623047,96.91625213623047
2020-07-24,90.14624786376953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[95.98250198364258],[83.15812301635742],[95.98250198364258],[90.14624786376953],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],95.98250198364258,95.98250198364258
2020-07-27,92.28271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.1974983215332],[83.38999938964844],[94.1974983215332],[92.28271484375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.1974983215332,94.1974983215332
2020-07-28,90.76676177978516,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.1974983215332],[83.6456241607666],[94.1974983215332],[90.76676177978516],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.1974983215332,94.1974983215332
2020-07-29,92.506591796875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.1974983215332],[84.08374977111816],[94.1974983215332],[92.506591796875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.1974983215332,94.1974983215332
2020-07-30,93.62594604492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[94.1974983215332],[84.48187255859375],[94.1974983215332],[93.62594604492188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.1974983215332,94.1974983215332
2020-07-31,103.42752075195312,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[94.1974983215332],[86.72875022888184],[94.1974983215332],[103.42752075195312],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],94.1974983215332,94.1974983215332
2020-08-03,106.03365325927734,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[97.77999877929688],[86.89687538146973],[97.77999877929688],[106.03365325927734],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],97.77999877929688,97.77999877929688
2020-08-04,106.74174499511719,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[100.3912467956543],[86.90187454223633],[100.3912467956543],[106.74174499511719],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],100.3912467956543,100.3912467956543
2020-08-05,107.128662109375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[100.3912467956543],[87.66062545776367],[100.3912467956543],[107.128662109375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],100.3912467956543,100.3912467956543
2020-08-06,110.86629486083984,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[100.3912467956543],[87.6875],[100.3912467956543],[110.86629486083984],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],100.3912467956543,100.3912467956543
2020-08-07,108.34567260742188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[103.82999801635742],[87.6875],[103.82999801635742],[108.34567260742188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],103.82999801635742,103.82999801635742
2020-08-10,109.92044830322266,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[103.82999801635742],[87.6875],[103.82999801635742],[109.92044830322266],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],103.82999801635742,103.82999801635742
2020-08-11,106.65142059326172,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[104.0625],[88.22125053405762],[104.0625],[106.65142059326172],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],104.0625,104.0625
2020-08-12,110.1959228515625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[104.09000015258789],[88.70687484741211],[104.09000015258789],[110.1959228515625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],104.09000015258789,104.09000015258789
2020-08-13,112.1461181640625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[107.61874771118164],[89.10812377929688],[107.61874771118164],[112.1461181640625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],107.61874771118164,107.61874771118164
2020-08-14,112.0461654663086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[111.96750259399414],[89.57562446594238],[111.96750259399414],[112.0461654663086],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],111.96750259399414,111.96750259399414
2020-08-17,111.75363159179688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[112.21500015258789],[90.1624984741211],[112.21500015258789],[111.75363159179688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],112.21500015258789,112.21500015258789
2020-08-18,112.68484497070312,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[112.49250030517578],[90.1624984741211],[112.49250030517578],[112.68484497070312],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],112.49250030517578,112.49250030517578
2020-08-19,112.82623291015625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[112.59749984741211],[92.67937660217285],[112.59749984741211],[112.82623291015625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],112.59749984741211,112.59749984741211
2020-08-20,115.32981872558594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[113.1349983215332],[93.16250228881836],[113.1349983215332],[115.32981872558594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],113.1349983215332,113.1349983215332
2020-08-21,121.27303314208984,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[113.75],[93.45562744140625],[113.75],[121.27303314208984],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],113.75,113.75
2020-08-24,122.72349548339844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[116.98749923706055],[93.88062477111816],[116.98749923706055],[122.72349548339844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],116.98749923706055,116.98749923706055
2020-08-25,121.71668243408203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[119.54125213623047],[94.02812576293945],[119.54125213623047],[121.71668243408203],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],119.54125213623047,119.54125213623047
2020-08-26,123.37193298339844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[120.91500091552734],[94.23312568664551],[120.91500091552734],[123.37193298339844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],120.91500091552734,120.91500091552734
2020-08-27,121.89708709716797,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[120.91500091552734],[94.23312568664551],[120.91500091552734],[121.89708709716797],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],120.91500091552734,120.91500091552734
2020-08-28,121.69963836669922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[121.37375259399414],[94.99187660217285],[121.37375259399414],[121.69963836669922],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],121.37375259399414,121.37375259399414
2020-08-31,125.82674407958984,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[121.3962516784668],[94.55187606811523],[121.3962516784668],[125.82674407958984],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],121.3962516784668,121.3962516784668
2020-09-01,130.8387451171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[123.30500030517578],[93.65937423706055],[123.30500030517578],[130.8387451171875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],123.30500030517578,123.30500030517578
2020-09-02,128.12799072265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[125.26625061035156],[93.65937423706055],[125.26625061035156],[128.12799072265625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],125.26625061035156,125.26625061035156
2020-09-03,117.86993408203125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[128.61499786376953],[94.03437423706055],[128.61499786376953],[117.86993408203125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],128.61499786376953,128.61499786376953
2020-09-04,117.94795227050781,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[129.23999786376953],[94.04249954223633],[129.23999786376953],[117.94795227050781],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],129.23999786376953,129.23999786376953
2020-09-08,110.01065826416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[124.43499755859375],[94.04249954223633],[124.43499755859375],[110.01065826416016],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],124.43499755859375,124.43499755859375
2020-09-09,114.3985824584961,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[124.43499755859375],[97.44874954223633],[124.43499755859375],[114.3985824584961],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],124.43499755859375,124.43499755859375
2020-09-10,110.66395568847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[124.43499755859375],[100.05999755859375],[124.43499755859375],[110.66395568847656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],124.43499755859375,124.43499755859375
2020-09-11,109.2110595703125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[124.43499755859375],[100.05999755859375],[124.43499755859375],[109.2110595703125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],124.43499755859375,124.43499755859375
2020-09-14,112.48741149902344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[123.98999786376953],[100.3912467956543],[123.98999786376953],[112.48741149902344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],123.98999786376953,123.98999786376953
2020-09-15,112.66289520263672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[123.98999786376953],[102.80437278747559],[123.98999786376953],[112.66289520263672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],123.98999786376953,123.98999786376953
2020-09-16,109.33782958984375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[123.98999786376953],[102.80437278747559],[123.98999786376953],[109.33782958984375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],123.98999786376953,123.98999786376953
2020-09-17,107.5923843383789,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[119.41999816894531],[102.92062377929688],[119.41999816894531],[107.5923843383789],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],119.41999816894531,119.41999816894531
2020-09-18,104.1795425415039,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[116.20499801635742],[102.93437385559082],[116.20499801635742],[104.1795425415039],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],116.20499801635742,116.20499801635742
2020-09-21,107.33887481689453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[113.29499816894531],[104.6987476348877],[113.29499816894531],[107.33887481689453],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],113.29499816894531,113.29499816894531
2020-09-22,109.02578735351562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[111.79999923706055],[107.28062629699707],[111.79999923706055],[109.02578735351562],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],111.79999923706055,111.79999923706055
