date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_MINUS_DI,exit0_MINUS_DI
2020-02-20,77.73008728027344,0,[True],[False],BUY. Shares: 43,Entry conditions met: True,{},"{'order_size': 43, 'order_price': None, 'order_valid': None, 'order_status': 1}",[14.700528977863486],[15.316393100846774],[14.700528977863486],[15.316393100846774],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.700528977863486,14.700528977863486
2020-02-21,75.97065734863281,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[14.84072249737158],[14.397221180451153],[14.84072249737158],[14.397221180451153],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.84072249737158,14.84072249737158
2020-02-24,72.3620376586914,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[18.453780587302617],[13.566880005156122],[18.453780587302617],[13.566880005156122],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],18.453780587302617,18.453780587302617
2020-02-25,69.91097259521484,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[29.02255695213501],[12.408871094052362],[29.02255695213501],[12.408871094052362],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],29.02255695213501,29.02255695213501
2020-02-26,71.0199966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[28.09555572441316],[11.272215462213364],[28.09555572441316],[11.272215462213364],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],28.09555572441316,28.09555572441316
2020-02-27,66.3775634765625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[25.318365617293207],[10.15797926151129],[25.318365617293207],[10.15797926151129],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],25.318365617293207,25.318365617293207
2020-02-28,66.33873748779297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.872235052799283],[9.439449288179365],[30.872235052799283],[9.439449288179365],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.872235052799283,30.872235052799283
2020-03-02,72.514892578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[35.936773246871496],[8.362726231369479],[35.936773246871496],[8.362726231369479],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],35.936773246871496,35.936773246871496
2020-03-03,70.21188354492188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[29.91935903982186],[17.64898093819488],[29.91935903982186],[17.64898093819488],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],29.91935903982186,29.91935903982186
2020-03-04,73.46864318847656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[27.425065707532948],[17.35027043099939],[27.425065707532948],[17.35027043099939],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],27.425065707532948,27.425065707532948
2020-03-05,71.08551788330078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[24.679462024867146],[15.613284022339123],[24.679462024867146],[15.613284022339123],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],24.679462024867146,24.679462024867146
2020-03-06,70.14152526855469,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[24.5465226746096],[15.028468069870202],[24.5465226746096],[15.028468069870202],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],24.5465226746096,24.5465226746096
2020-03-09,64.59387969970703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[28.248735027537748],[14.346670212034512],[28.248735027537748],[14.346670212034512],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],28.248735027537748,28.248735027537748
2020-03-10,69.24603271484375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[34.45288782614655],[13.168224050800935],[34.45288782614655],[13.168224050800935],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],34.45288782614655,34.45288782614655
2020-03-11,66.8410873413086,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.186694323900984],[15.221856363346832],[30.186694323900984],[15.221856363346832],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.186694323900984,30.186694323900984
2020-03-12,60.240211486816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[28.901299624890424],[14.573686899390179],[28.901299624890424],[14.573686899390179],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],28.901299624890424,28.901299624890424
2020-03-13,67.4574966430664,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[36.64153965870181],[13.15571924745904],[36.64153965870181],[13.15571924745904],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],36.64153965870181,36.64153965870181
2020-03-16,58.77928161621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.90670093981261],[15.081891690879363],[30.90670093981261],[15.081891690879363],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.90670093981261,30.90670093981261
2020-03-17,61.36381912231445,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[32.33618106591252],[13.357975282213443],[32.33618106591252],[13.357975282213443],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],32.33618106591252,32.33618106591252
2020-03-18,59.86163330078125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.193875127029326],[12.223411053927341],[30.193875127029326],[12.223411053927341],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.193875127029326,30.193875127029326
2020-03-19,59.40297317504883,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[29.185721645292166],[11.615044431329958],[29.185721645292166],[11.615044431329958],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],29.185721645292166,29.185721645292166
2020-03-20,55.63174057006836,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[27.64490955346849],[12.121295838551424],[27.64490955346849],[12.121295838551424],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],27.64490955346849,27.64490955346849
2020-03-23,54.449893951416016,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.737456767314562],[11.007783593287392],[30.737456767314562],[11.007783593287392],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.737456767314562,30.737456767314562
2020-03-24,59.91260528564453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[34.82904975193521],[10.326565258393074],[34.82904975193521],[10.326565258393074],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],34.82904975193521,34.82904975193521
2020-03-25,59.582557678222656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[30.94908979701862],[16.328201685412782],[30.94908979701862],[16.328201685412782],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],30.94908979701862,30.94908979701862
2020-03-26,62.71796798706055,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[28.799174558281795],[19.13791888064236],[28.799174558281795],[19.13791888064236],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],28.799174558281795,28.799174558281795
2020-03-27,60.121299743652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[26.62032281302542],[17.84986978998213],[26.62032281302542],[17.84986978998213],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],26.62032281302542,26.62032281302542
2020-03-30,61.8370361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[25.71232958167835],[17.241028151825883],[25.71232958167835],[17.241028151825883],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],25.71232958167835,25.71232958167835
2020-03-31,61.710845947265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[24.197203521949138],[16.225082437285494],[24.197203521949138],[16.225082437285494],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],24.197203521949138,24.197203521949138
2020-04-01,58.46380615234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[22.743643177141106],[18.015583237549947],[22.743643177141106],[18.015583237549947],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],22.743643177141106,22.743643177141106
2020-04-02,59.439369201660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[27.13063408562884],[17.306493373142555],[27.13063408562884],[17.306493373142555],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],27.13063408562884,27.13063408562884
2020-04-03,58.58515167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[26.77939680940066],[16.483590868875964],[26.77939680940066],[16.483590868875964],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],26.77939680940066,26.77939680940066
2020-04-06,63.695960998535156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[25.848626712034015],[16.15135621836379],[25.848626712034015],[16.15135621836379],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],25.848626712034015,25.848626712034015
2020-04-07,62.958213806152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[22.76247072666788],[21.448165987930135],[22.76247072666788],[21.448165987930135],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],22.76247072666788,22.76247072666788
2020-04-08,64.56962585449219,0,[True],[False],BUY. Shares: 52,Entry conditions met: True,{},"{'order_size': 52, 'order_price': None, 'order_valid': None, 'order_status': 1}",[21.162529015329792],[23.509857509104087],[21.162529015329792],[23.509857509104087],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],21.162529015329792,21.162529015329792
2020-04-09,65.0355453491211,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[19.78685570487141],[21.981595764748008],[19.78685570487141],[21.981595764748008],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],19.78685570487141,19.78685570487141
2020-04-13,66.31205749511719,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[18.788636729628607],[22.027824346540555],[18.788636729628607],[22.027824346540555],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],18.788636729628607,18.788636729628607
2020-04-14,69.6610107421875,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[17.68396228162439],[22.306888429847785],[17.68396228162439],[22.306888429847785],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],17.68396228162439,17.68396228162439
2020-04-15,69.02518463134766,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[15.968579473203828],[26.27903632927249],[15.968579473203828],[26.27903632927249],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.968579473203828,15.968579473203828
2020-04-16,69.57365417480469,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[15.4299781640008],[25.392675498286163],[15.4299781640008],[25.392675498286163],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.4299781640008,15.4299781640008
2020-04-17,68.62963104248047,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[14.595405643795226],[24.855206224816968],[14.595405643795226],[24.855206224816968],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.595405643795226,14.595405643795226
2020-04-20,67.20510864257812,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[16.439839628778078],[23.70378514455572],[16.439839628778078],[23.70378514455572],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],16.439839628778078,16.439839628778078
2020-04-21,65.12776947021484,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[15.882397040309462],[22.893165542048145],[15.882397040309462],[22.893165542048145],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.882397040309462,15.882397040309462
2020-04-22,67.00371551513672,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[20.50861719087254],[21.581334115352938],[20.50861719087254],[21.581334115352938],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],20.50861719087254,20.50861719087254
2020-04-23,66.74402618408203,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[18.801713345376072],[20.0962562829378],[18.801713345376072],[20.0962562829378],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],18.801713345376072,18.801713345376072
2020-04-24,68.67088317871094,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[17.558607930144266],[20.620831060836004],[17.558607930144266],[20.620831060836004],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],17.558607930144266,17.558607930144266
2020-04-27,68.71939849853516,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[16.21114969685487],[19.64143500954534],[16.21114969685487],[19.64143500954534],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],16.21114969685487,16.21114969685487
2020-04-28,67.60552215576172,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[15.427386908474297],[19.442309665691884],[15.427386908474297],[19.442309665691884],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.427386908474297,15.427386908474297
2020-04-29,69.82601928710938,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[15.457513879621757],[18.378988510077285],[15.457513879621757],[18.378988510077285],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],15.457513879621757,15.457513879621757
2020-04-30,71.29907989501953,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[14.007606906002907],[18.52638068578451],[14.007606906002907],[18.52638068578451],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],14.007606906002907,14.007606906002907
2020-05-01,70.15122985839844,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[12.971123291048498],[19.51737008492597],[12.971123291048498],[19.51737008492597],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],12.971123291048498,12.971123291048498
2020-05-04,71.14378356933594,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[12.097188680611046],[20.384175263172082],[12.097188680611046],[20.384175263172082],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],12.097188680611046,12.097188680611046
2020-05-05,72.21157836914062,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[11.318680094918717],[19.072361760579422],[11.318680094918717],[19.072361760579422],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],11.318680094918717,11.318680094918717
2020-05-06,72.95658874511719,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[10.412827265238391],[21.107832299614124],[10.412827265238391],[21.107832299614124],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],10.412827265238391,10.412827265238391
2020-05-07,73.71131896972656,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.681582435292498],[20.71839664572877],[9.681582435292498],[20.71839664572877],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.681582435292498,9.681582435292498
2020-05-08,75.46578979492188,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.047275015724061],[20.308626118245613],[9.047275015724061],[20.308626118245613],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.047275015724061,9.047275015724061
2020-05-11,76.65325164794922,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.36174810970665],[21.30127147199998],[8.36174810970665],[21.30127147199998],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.36174810970665,8.36174810970665
2020-05-12,75.7772445678711,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[7.74288171731613],[22.989904291069987],[7.74288171731613],[22.989904291069987],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],7.74288171731613,7.74288171731613
2020-05-13,74.8623046875,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[7.245602938235051],[22.809969900633398],[7.245602938235051],[22.809969900633398],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],7.245602938235051,7.245602938235051
2020-05-14,75.32223510742188,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[10.598343229689128],[21.359323745647153],[10.598343229689128],[21.359323745647153],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],10.598343229689128,10.598343229689128
2020-05-15,74.87689971923828,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[10.893565092336905],[20.242854091282815],[10.893565092336905],[20.242854091282815],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],10.893565092336905,10.893565092336905
2020-05-18,76.6410903930664,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[11.145559147337043],[19.42950207603713],[11.145559147337043],[19.42950207603713],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],11.145559147337043,11.145559147337043
2020-05-19,76.19822692871094,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[10.172892110641305],[22.15068560616968],[10.172892110641305],[22.15068560616968],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],10.172892110641305,10.172892110641305
2020-05-20,77.68014526367188,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.541933287113782],[21.824753846990948],[9.541933287113782],[21.824753846990948],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.541933287113782,9.541933287113782
2020-05-21,77.10101318359375,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.81652422126717],[20.68177864129462],[8.81652422126717],[20.68177864129462],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.81652422126717,8.81652422126717
2020-05-22,77.59740447998047,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.344759777171918],[20.29598949620227],[8.344759777171918],[20.29598949620227],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.344759777171918,8.344759777171918
2020-05-26,77.07179260253906,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.140056985970503],[19.122888100983694],[8.140056985970503],[19.122888100983694],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.140056985970503,8.140056985970503
2020-05-27,77.4075927734375,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[7.539636485025137],[20.380463347218335],[7.539636485025137],[20.380463347218335],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],7.539636485025137,7.539636485025137
2020-05-28,77.4416732788086,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.959763288834381],[19.230891794636698],[8.959763288834381],[19.230891794636698],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.959763288834381,8.959763288834381
2020-05-29,77.3662338256836,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.292369603680608],[20.349747663163146],[8.292369603680608],[20.349747663163146],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.292369603680608,8.292369603680608
2020-06-01,78.31767272949219,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[7.778056643523551],[19.0876067481652],[7.778056643523551],[19.0876067481652],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],7.778056643523551,7.778056643523551
2020-06-02,78.68026733398438,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[7.231329952521284],[18.40055467587115],[7.231329952521284],[18.40055467587115],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],7.231329952521284,7.231329952521284
2020-06-03,79.11338806152344,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[6.823662411844174],[17.967476716461732],[6.823662411844174],[17.967476716461732],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],6.823662411844174,6.823662411844174
2020-06-04,78.43204498291016,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[6.386025796869642],[18.357202570124542],[6.386025796869642],[18.357202570124542],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],6.386025796869642,6.386025796869642
2020-06-05,80.66586303710938,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[6.918988566873195],[17.39764673549529],[6.918988566873195],[17.39764673549529],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],6.918988566873195,6.918988566873195
2020-06-08,81.14280700683594,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[6.229539496293915],[19.053433594676356],[6.229539496293915],[19.053433594676356],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],6.229539496293915,6.229539496293915
2020-06-09,83.70513916015625,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[5.848664205368515],[18.92273853397695],[5.848664205368515],[18.92273853397695],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],5.848664205368515,5.848664205368515
2020-06-10,85.85867309570312,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[5.191137151923225],[23.21307439908259],[5.191137151923225],[23.21307439908259],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],5.191137151923225,5.191137151923225
2020-06-11,81.73654174804688,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[4.656552390865432],[25.551039558333674],[4.656552390865432],[25.551039558333674],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],4.656552390865432,4.656552390865432
2020-06-12,82.44223022460938,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.713499683476082],[23.51442150403128],[9.713499683476082],[23.51442150403128],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.713499683476082,9.713499683476082
2020-06-15,83.46177673339844,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.33514332923775],[21.091137779704283],[9.33514332923775],[21.091137779704283],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.33514332923775,9.33514332923775
2020-06-16,85.67372131347656,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.411042989583562],[19.444614815879582],[9.411042989583562],[19.444614815879582],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.411042989583562,9.411042989583562
2020-06-17,85.55448150634766,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.537964027666728],[21.245565135537152],[8.537964027666728],[21.245565135537152],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.537964027666728,8.537964027666728
2020-06-18,85.58856964111328,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.012434464289726],[21.003675254308998],[8.012434464289726],[21.003675254308998],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.012434464289726,8.012434464289726
2020-06-19,85.09944152832031,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.490516528471266],[19.840962857832825],[8.490516528471266],[19.840962857832825],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.490516528471266,8.490516528471266
2020-06-22,87.32598114013672,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.903980592514346],[18.449865015839347],[9.903980592514346],[18.449865015839347],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.903980592514346,9.903980592514346
2020-06-23,89.18993377685547,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.992837205644493],[18.15210867220065],[8.992837205644493],[18.15210867220065],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.992837205644493,8.992837205644493
2020-06-24,87.61554718017578,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[8.029776763608007],[22.20411033705007],[8.029776763608007],[22.20411033705007],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],8.029776763608007,8.029776763608007
2020-06-25,88.7786865234375,52,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[9.34225157401361],[20.94480437015904],[9.34225157401361],[20.94480437015904],['MINUS_DI cross_below None'],['MINUS_DI cross_above None'],9.34225157401361,9.34225157401361
