date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_EMA,exit0_EMA
2023-04-17,163.58033752441406,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[161.3487405880551],[157.21581480853382],[161.3487405880551],[157.21581480853382],['EMA cross_above None'],['EMA cross_below None'],161.3487405880551,161.3487405880551
2023-04-18,164.80795288085938,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[161.75448548557492],[157.62642917730028],[161.75448548557492],[157.62642917730028],['EMA cross_above None'],['EMA cross_below None'],161.75448548557492,161.75448548557492
2023-04-19,165.95639038085938,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[162.30966137562663],[158.08975328720734],[162.30966137562663],[158.08975328720734],['EMA cross_above None'],['EMA cross_below None'],162.30966137562663,162.30966137562663
2023-04-20,164.9861602783203,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[162.97270301294168],[158.59727826099135],[162.97270301294168],[158.59727826099135],['EMA cross_above None'],['EMA cross_below None'],162.97270301294168,162.97270301294168
2023-04-21,163.3724365234375,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.33878615210142],[159.00946419759322],[163.33878615210142],[159.00946419759322],['EMA cross_above None'],['EMA cross_below None'],163.33878615210142,163.33878615210142
2023-04-24,163.67935180664062,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.34490440143523],[159.29094628313158],[163.34490440143523],[159.29094628313158],['EMA cross_above None'],['EMA cross_below None'],163.34490440143523,163.34490440143523
2023-04-25,162.13491821289062,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.40571302056347],[159.57406922013217],[163.40571302056347],[159.57406922013217],['EMA cross_above None'],['EMA cross_below None'],163.40571302056347,163.40571302056347
2023-04-26,162.125,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.1746594191684],[159.73928528418114],[163.1746594191684],[159.73928528418114],['EMA cross_above None'],['EMA cross_below None'],163.1746594191684,163.1746594191684
2023-04-27,166.7285919189453,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[162.98381225204685],[159.89320236262108],[162.98381225204685],[159.89320236262108],['EMA cross_above None'],['EMA cross_below None'],162.98381225204685,162.98381225204685
2023-04-28,167.9859161376953,-18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.66468128239202],[160.33419523722264],[163.66468128239202],[160.33419523722264],['EMA cross_above None'],['EMA cross_below None'],163.66468128239202,163.66468128239202
