date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ZLEMA,exit0_ZLEMA
2023-03-21,157.6897430419922,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[154.5755319590416],[152.03249112801961],[154.5755319590416],[152.03249112801961],['ZLEMA cross_above None'],['ZLEMA cross_below None'],154.5755319590416,154.5755319590416
2023-03-22,156.25424194335938,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.2739681760056],[153.2897677604483],[156.2739681760056],[153.2897677604483],['ZLEMA cross_above None'],['ZLEMA cross_below None'],156.2739681760056,156.2739681760056
2023-03-23,157.34323120117188,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.62679083452304],[154.24237965172233],[156.62679083452304],[154.24237965172233],['ZLEMA cross_above None'],['ZLEMA cross_below None'],156.62679083452304,156.62679083452304
2023-03-24,158.6500701904297,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.46446127760692],[154.9470220714953],[157.46446127760692],[154.9470220714953],['ZLEMA cross_above None'],['ZLEMA cross_below None'],157.46446127760692,157.46446127760692
2023-03-27,156.69972229003906,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[158.19304366871674],[155.59598719238673],[158.19304366871674],[155.59598719238673],['ZLEMA cross_above None'],['ZLEMA cross_below None'],158.19304366871674,158.19304366871674
2023-03-28,156.07598876953125,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.74152691769294],[156.09385921481592],[157.74152691769294],[156.09385921481592],['ZLEMA cross_above None'],['ZLEMA cross_below None'],157.74152691769294,157.74152691769294
2023-03-29,159.1648712158203,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.4062921318766],[156.3980129943666],[157.4062921318766],[156.3980129943666],['ZLEMA cross_above None'],['ZLEMA cross_below None'],157.4062921318766,157.4062921318766
2023-03-30,160.73899841308594,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[158.05724105889334],[157.22673734030718],[158.05724105889334],[157.22673734030718],['ZLEMA cross_above None'],['ZLEMA cross_below None'],158.05724105889334,158.05724105889334
2023-03-31,163.2536163330078,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[158.9246384365022],[158.33860054837962],[158.9246384365022],[158.33860054837962],['ZLEMA cross_above None'],['ZLEMA cross_below None'],158.9246384365022,158.9246384365022
2023-04-03,164.51095581054688,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.90334242549753],[159.57736956226944],[160.90334242549753],[159.57736956226944],['ZLEMA cross_above None'],['ZLEMA cross_below None'],160.90334242549753,160.90334242549753
2023-04-04,163.97634887695312,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.09290250296385],[160.76304589910387],[163.09290250296385],[160.76304589910387],['ZLEMA cross_above None'],['ZLEMA cross_below None'],163.09290250296385,163.09290250296385
2023-04-05,162.125,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[164.12834323662238],[161.77769731350142],[164.12834323662238],[161.77769731350142],['ZLEMA cross_above None'],['ZLEMA cross_below None'],164.12834323662238,164.12834323662238
2023-04-06,163.01602172851562,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[164.01609930031177],[162.30533031980022],[164.01609930031177],[162.30533031980022],['ZLEMA cross_above None'],['ZLEMA cross_below None'],164.01609930031177,164.01609930031177
2023-04-10,160.41229248046875,39,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.79106799553205],[162.96818380408226],[163.79106799553205],[162.96818380408226],['ZLEMA cross_above None'],['ZLEMA cross_below None'],163.79106799553205,163.79106799553205
2023-04-11,159.19456481933594,39,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -39, 'order_price': None, 'order_valid': None, 'order_status': 1}",[162.43153366005177],[163.09901768825688],[162.43153366005177],[163.09901768825688],['ZLEMA cross_above None'],['ZLEMA cross_below None'],162.43153366005177,162.43153366005177
2023-04-12,158.50155639648438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[160.97357858762757],[162.9442027791229],[160.97357858762757],[162.9442027791229],['ZLEMA cross_above None'],['ZLEMA cross_below None'],160.97357858762757,160.97357858762757
2023-04-13,163.90701293945312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[159.8653120795078],[162.80256846108978],[159.8653120795078],[162.80256846108978],['ZLEMA cross_above None'],['ZLEMA cross_below None'],159.8653120795078,159.8653120795078
2023-04-14,163.560546875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[160.76216518330466],[163.29729273313137],[160.76216518330466],[163.29729273313137],['ZLEMA cross_above None'],['ZLEMA cross_below None'],160.76216518330466,160.76216518330466
2023-04-17,163.58033752441406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[161.84337174443675],[163.6310818187081],[161.84337174443675],[163.6310818187081],['ZLEMA cross_above None'],['ZLEMA cross_below None'],161.84337174443675,161.84337174443675
2023-04-18,164.80795288085938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[162.95659692353775],[164.07171865355204],[162.95659692353775],[164.07171865355204],['ZLEMA cross_above None'],['ZLEMA cross_below None'],162.95659692353775,162.95659692353775
2023-04-19,165.95639038085938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.43982464020985],[164.68257015927048],[164.43982464020985],[164.68257015927048],['ZLEMA cross_above None'],['ZLEMA cross_below None'],164.43982464020985,164.43982464020985
2023-04-20,164.9861602783203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[165.08817794603817],[165.20291463582714],[165.08817794603817],[165.20291463582714],['ZLEMA cross_above None'],['ZLEMA cross_below None'],165.08817794603817,165.08817794603817
2023-04-21,163.3724365234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[165.3288317161477],[165.4629409266483],[165.3288317161477],[165.4629409266483],['ZLEMA cross_above None'],['ZLEMA cross_below None'],165.3288317161477,165.3288317161477
2023-04-24,163.67935180664062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.93532331729557],[165.33573549356564],[164.93532331729557],[165.33573549356564],['ZLEMA cross_above None'],['ZLEMA cross_below None'],164.93532331729557,164.93532331729557
2023-04-25,162.13491821289062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.50176466550036],[165.1752201586733],[164.50176466550036],[165.1752201586733],['ZLEMA cross_above None'],['ZLEMA cross_below None'],164.50176466550036,164.50176466550036
2023-04-26,162.125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.3766158253952],[164.86026966771558],[163.3766158253952],[164.86026966771558],['ZLEMA cross_above None'],['ZLEMA cross_below None'],163.3766158253952,163.3766158253952
2023-04-27,166.7285919189453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[162.62883835199236],[164.68380065689524],[162.62883835199236],[164.68380065689524],['ZLEMA cross_above None'],['ZLEMA cross_below None'],162.62883835199236,162.62883835199236
2023-04-28,167.9859161376953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.98445816334885],[165.0552433312488],[163.98445816334885],[165.0552433312488],['ZLEMA cross_above None'],['ZLEMA cross_below None'],163.98445816334885,163.98445816334885
2023-05-01,167.8968048095703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[165.49500767342175],[165.7329398772922],[165.49500767342175],[165.7329398772922],['ZLEMA cross_above None'],['ZLEMA cross_below None'],165.49500767342175,165.49500767342175
2023-05-02,166.85728454589844,0,[True],[False],BUY. Shares: 37,Entry conditions met: True,{},"{'order_size': 37, 'order_price': None, 'order_valid': None, 'order_status': 1}",[166.97931380666324],[166.43397890455108],[166.97931380666324],[166.43397890455108],['ZLEMA cross_above None'],['ZLEMA cross_below None'],166.97931380666324,166.97931380666324
2023-05-03,165.77818298339844,37,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[167.81754204032387],[167.00036818137443],[167.81754204032387],[167.00036818137443],['ZLEMA cross_above None'],['ZLEMA cross_below None'],167.81754204032387,167.81754204032387
2023-05-04,164.13475036621094,37,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[167.27394785987434],[167.042238171437],[167.27394785987434],[167.042238171437],['ZLEMA cross_above None'],['ZLEMA cross_below None'],167.27394785987434,167.27394785987434
2023-05-05,171.83706665039062,37,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -37, 'order_price': None, 'order_valid': None, 'order_status': 1}",[166.00297272075653],[166.89170369956506],[166.00297272075653],[166.89170369956506],['ZLEMA cross_above None'],['ZLEMA cross_below None'],166.00297272075653,166.00297272075653
2023-05-08,171.76776123046875,0,[True],[False],BUY. Shares: 36,Entry conditions met: True,{},"{'order_size': 36, 'order_price': None, 'order_valid': None, 'order_status': 1}",[167.7801283153846],[167.7434515754878],[167.7801283153846],[167.7434515754878],['ZLEMA cross_above None'],['ZLEMA cross_below None'],167.7801283153846,167.7801283153846
2023-05-09,170.05502319335938,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[169.39796642441266],[168.4521043499775],[169.39796642441266],[168.4521043499775],['ZLEMA cross_above None'],['ZLEMA cross_below None'],169.39796642441266,169.39796642441266
2023-05-10,171.82716369628906,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[170.29503860239586],[168.81994639229248],[170.29503860239586],[168.81994639229248],['ZLEMA cross_above None'],['ZLEMA cross_below None'],170.29503860239586,170.29503860239586
2023-05-11,172.01527404785156,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[171.97222740675429],[169.45531547112896],[171.97222740675429],[169.45531547112896],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.97222740675429,171.97222740675429
2023-05-12,171.08335876464844,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[172.01245541376488],[170.178076509912],[172.01245541376488],[170.178076509912],['ZLEMA cross_above None'],['ZLEMA cross_below None'],172.01245541376488,172.01245541376488
2023-05-15,170.58767700195312,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[171.71909193832184],[170.71415968492775],[171.71909193832184],[170.71415968492775],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.71909193832184,171.71909193832184
2023-05-16,170.58767700195312,36,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[171.61022627872637],[171.25133878854632],[171.61022627872637],[171.25133878854632],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.61022627872637,171.61022627872637
2023-05-17,171.20233154296875,36,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -36, 'order_price': None, 'order_valid': None, 'order_status': 1}",[171.19894701125196],[171.75450106050505],[171.19894701125196],[171.75450106050505],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.19894701125196,171.19894701125196
2023-05-18,173.54202270507812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[171.05175465249448],[172.00750558350424],[171.05175465249448],[172.00750558350424],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.05175465249448,171.05175465249448
2023-05-19,173.65106201171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[171.951560469406],[172.46496517634017],[171.951560469406],[172.46496517634017],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.951560469406,171.951560469406
2023-05-22,172.6993408203125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[172.81753984251117],[172.9127299529548],[172.81753984251117],[172.9127299529548],['ZLEMA cross_above None'],['ZLEMA cross_below None'],172.81753984251117,172.81753984251117
2023-05-23,170.08206176757812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[173.17998798726765],[173.27586976855298],[173.17998798726765],[173.27586976855298],['ZLEMA cross_above None'],['ZLEMA cross_below None'],173.17998798726765,173.17998798726765
2023-05-24,170.35963439941406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[172.41304326088945],[173.34748723843717],[172.41304326088945],[173.34748723843717],['ZLEMA cross_above None'],['ZLEMA cross_below None'],172.41304326088945,172.41304326088945
2023-05-25,171.499755859375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[171.46108013959136],[173.55632796064234],[171.46108013959136],[173.55632796064234],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.46108013959136,171.46108013959136
2023-05-26,173.91871643066406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[171.0769655154895],[173.40188390307569],[171.0769655154895],[173.40188390307569],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.0769655154895,171.0769655154895
2023-05-30,175.77261352539062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[171.81535215649424],[173.57399924035207],[171.81535215649424],[173.57399924035207],['ZLEMA cross_above None'],['ZLEMA cross_below None'],171.81535215649424,171.81535215649424
2023-05-31,175.72303771972656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[173.56949999771405],[174.08472211887272],[173.56949999771405],[174.08472211887272],['ZLEMA cross_above None'],['ZLEMA cross_below None'],173.56949999771405,173.56949999771405
2023-06-01,178.53857421875,0,[True],[False],BUY. Shares: 35,Entry conditions met: True,{},"{'order_size': 35, 'order_price': None, 'order_valid': None, 'order_status': 1}",[174.93621655086403],[174.4417666107625],[174.93621655086403],[174.4417666107625],['ZLEMA cross_above None'],['ZLEMA cross_below None'],174.93621655086403,174.93621655086403
2023-06-02,179.39114379882812,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[176.87097582854784],[175.1269348545616],[176.87097582854784],[175.1269348545616],['ZLEMA cross_above None'],['ZLEMA cross_below None'],176.87097582854784,176.87097582854784
