date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_DEMA,exit0_DEMA
2023-01-12,131.8766632080078,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[127.84636495947606],[126.31107598183462],[127.84636495947606],[126.31107598183462],['DEMA cross_above None'],['DEMA cross_below None'],127.84636495947606,127.84636495947606
2023-01-13,133.21112060546875,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[129.03295900768816],[126.91981797965579],[129.03295900768816],[126.91981797965579],['DEMA cross_above None'],['DEMA cross_below None'],129.03295900768816,129.03295900768816
2023-01-17,134.37759399414062,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[130.36244025235672],[127.70516907698851],[130.36244025235672],[127.70516907698851],['DEMA cross_above None'],['DEMA cross_below None'],130.36244025235672,130.36244025235672
2023-01-18,133.65599060058594,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[131.7322058538235],[128.60959860838256],[131.7322058538235],[128.60959860838256],['DEMA cross_above None'],['DEMA cross_below None'],131.7322058538235,131.7322058538235
2023-01-19,133.71533203125,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[132.4980606516573],[129.2713735990672],[132.4980606516573],[129.2713735990672],['DEMA cross_above None'],['DEMA cross_below None'],132.4980606516573,132.4980606516573
2023-01-20,136.28538513183594,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[133.0686359875814],[129.86363335892284],[133.0686359875814],[129.86363335892284],['DEMA cross_above None'],['DEMA cross_below None'],133.0686359875814,133.0686359875814
2023-01-23,139.48818969726562,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[134.32157409012655],[130.849612533626],[134.32157409012655],[130.849612533626],['DEMA cross_above None'],['DEMA cross_below None'],134.32157409012655,134.32157409012655
2023-01-24,140.89186096191406,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[136.2840155206239],[132.28704096377345],[136.2840155206239],[132.28704096377345],['DEMA cross_above None'],['DEMA cross_below None'],136.2840155206239,136.2840155206239
2023-01-25,140.22955322265625,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[138.1676626542007],[133.78366218687793],[138.1676626542007],[133.78366218687793],['DEMA cross_above None'],['DEMA cross_below None'],138.1676626542007,138.1676626542007
2023-01-26,142.305419921875,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[139.29972795569049],[134.95311442610753],[139.29972795569049],[134.95311442610753],['DEMA cross_above None'],['DEMA cross_below None'],139.29972795569049,139.29972795569049
2023-01-27,144.25277709960938,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[140.77453174459365],[136.33485444761675],[140.77453174459365],[136.33485444761675],['DEMA cross_above None'],['DEMA cross_below None'],140.77453174459365,140.77453174459365
2023-01-30,141.35646057128906,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[142.4561594034338],[137.87335554485168],[142.4561594034338],[137.87335554485168],['DEMA cross_above None'],['DEMA cross_below None'],142.4561594034338,142.4561594034338
2023-01-31,142.6316375732422,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[142.68380940358207],[138.6652178125506],[142.68380940358207],[138.6652178125506],['DEMA cross_above None'],['DEMA cross_below None'],142.68380940358207,142.68380940358207
2023-02-01,143.75852966308594,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[143.21387002144127],[139.5691665876765],[143.21387002144127],[139.5691665876765],['DEMA cross_above None'],['DEMA cross_below None'],143.21387002144127,143.21387002144127
2023-02-02,149.08657836914062,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[143.92198294580115],[140.5413361091056],[143.92198294580115],[140.5413361091056],['DEMA cross_above None'],['DEMA cross_below None'],143.92198294580115,143.92198294580115
2023-02-03,152.7242889404297,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[146.15194395393735],[142.33286868945973],[146.15194395393735],[142.33286868945973],['DEMA cross_above None'],['DEMA cross_below None'],146.15194395393735,146.15194395393735
2023-02-06,149.98611450195312,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[148.9442894264283],[144.52056697954976],[148.9442894264283],[144.52056697954976],['DEMA cross_above None'],['DEMA cross_below None'],148.9442894264283,148.9442894264283
2023-02-07,152.87257385253906,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.03332251559118],[145.88909309176717],[150.03332251559118],[145.88909309176717],['DEMA cross_above None'],['DEMA cross_below None'],150.03332251559118,150.03332251559118
